Season Nbr,Episode Nbr,Title,Score,Comment
1,1, What would you do?,8.0,"The princess was kidnapped. Via a YouTube video, the kidnapper demands that the Prime Minister have sexual intercourse with a pig in a live television broadcast, in exchange for the Princess' life. While police are trying to track him down, and the crisis staff monitors the reactions of the public, we observe the horrific dilemma of the Prime Minister who is slowly giving in to the pressure, until a complete breakdown.While the series is largely based on SF and futuristic premises, this episode is a purebred drama, quite possible at this very moment. The episode deals with the terrifying power that the Internet already possesses, the psychology of the masses, and the influence of the media on public opinion, questioning the policy of non-negotiation with terrorists, all through the prism of an individual in a hopeless situation.Although the script has some obvious flaws, and the episode somewhat flirts with black humor, the overall impression it leaves is deeply shocking, quite frightening, and thought-provoking.8/10."
1,1, Sex With A Pig,8.0,The Princess Susannah is kidnapped and her kidnapper had posted on YouTube a video. He wants the prime minister to have sex with a pig on live television.One of the reporters sexts photos of herself in the washroom. She goes into the supposed building where the princess is supposedly kept but instead gets shot by authority in the leg.The prime minister has no choice but to go ahead and do the act so he unzips his pants and we see him in his underwear. The pig is eating happily. He then performs the act and we see the audience's reaction.In the end the prime minister's approval rating has gone up a lot after one year but the only thing is his wife is not happy. She acts happy in front of the cameras but when they are home she stomps away. The princess is now pregnant.
1,1, An attention-grabber first episode,6.0,"I would not go as far as writing that I ""liked"" this episode, but for sure it attracted my attention.It works very well as a critique of a media-obsessed world, populated by hypocrites and voyeurs. It also strikes very close to our present situation and due to its dark nature, it is distubing. Likable, not so much, but definitely attention-grabbing."
1,1, Dare I say this might be a Marmite episode based on the reviews i have read!,10.0,"Boom!You can see from my rating how much I loved this episode. What a way to kickstart a new binge watch that I had been avoiding after seeing Bandersnatch last year!The National Anthem is a work of satirical art. It dared to suggest something so off the wall and ridiculous that it had me in shock and hysterics at the same time. It felt so fresh and original it drew me in and kept giving me more!I never believed for a second that the writers would actually see this through to it's conclusion, but hats off them, they dared to go there!Wow, all the craziness and satire was stripped away and replaced with something so perverse and sick I could really feel it! However uncomfortable it was to watch, I felt so sad for the lead character, sickened by the society, appauled by the reactions!For a story this silly to play out the way it does and still draw these emotions from the viewer has be the work of genius.Clearly many people hate this episode, I loved it!10/10"
1,1, What a Completely and Ridiculously Stupid Concept,1.0,I heard a lot of good things about this series and I had high hopes. If I can judge the series by S01E01 I would call it a disaster.People actually liked this episode? How is that possible? A kidnapped princess? I wouldn't wave to a camera to save a royal. Why didn't they make that royal pig have sex with the pig? If this is any indication of the quality of this series then I am getting out early.
1,1, The way we live now ... and it doesn't look too great,9.0,"In the first outing for Charlie Brooker's ""Dark Mirror"", a number of familiar-faced actors perform seriously and persuasively enough to capture the viewer within about 5 (of max 45) minutes, with a story presented seriously and realistically, and yet perfectly mixing the deadly serious with the eccentric and bizarre. It's a deeply British setting with just a hint of Doctor Who about it, and it homes in neatly on the tensions potentially and actually existing in the Prime Minister/British people/Royal Family triangle. Symbolic figureheads the Royal Family may be, but few in Britain have much doubt that - say - soldiers will ultimately do more to protect them than they will top politicians. In this case, it rather quickly becomes apparent that Brits expect a PM (and PM's wife) remarkably similar to David and Samantha Cameron to make a sacrifice for the sake of a young and popular Royal. The essence of this - in art here, as in real life - is just that the Royals are born into the job (whether they want to be or not), and in that sense somehow innocents, while politicians are elected and, if they can't stand the heat, they have no business being in politics in the first place.Anyway, what the kidnapper expects from the PM is bizarre (and all the more so given the apparently (truly) coincidental way in which life later (not until 2015, albeit retrospectively) apparently seemed to sort-of imitate art). In essence, it involves humiliation, and we immediately find ourselves wrongfooted by the fact that this terrorist demand - apparently associated with a genuine threat to the victim's life - does not involve money or deep political motives, but does require that the PM degrade himself publicly. It might be somehow funny or inconsequential in that case, but certainly does not seem so.The question mark here all the time is who is actually been targeted by the maker(s) of this piece, and the primary target would seem to be the electronically-connected world we live in. Certainly, there is tangible criticism for millions in the UK and around the world who are prepared to watch (and stay watching) the PM's humiliation, and in this sense - paradoxically - this modern, cutting-edge programme looks remarkably traditional in suggesting that the man at Number 10 is actually a hero who does the right (if nevertheless self-diminishing) thing.Happily, the kidnapper does not come out of this heroic, yet we still feel disturbed when we learn of his motive.Overall, it's clever and disturbing and dark, and definitely thought-provoking. It's also executed pretty deftly."
1,1, Strange beginnings,7.0,This review contains spoilers for the first episode of the first season of Black Mirror.The first episode of Black Mirror concerns a royal princess that is kidnapped with the ransom being the prime minister must have sex with a pig on live television. The episode covers the beginning from the ransom video being displayed to the revelation of the ransom. The British government is in panic as they seek to stop the media frenzy caused by the royal princess' kidnapping and ransom.The mystery of the episode is the best part. The revelation at the end being that the entire act was a work of art and reflection on modern society was great. This part elevated the episode for me and aided in the enjoyment of the episode.The characters of this episode are well-acted but the characters themselves are two-dimensional. Each character has a single motivation and that is all that carries them through the episode. The wife of the prime minister simply did not want her husband to engage in the act even when it was to save someone's life. It did seem like the episode should have focused more on the theme of the reflection on society rather than the focus on characters.The directing and editing are decent. The episode's visuals will not wow anyone but it will tell the story.I would recommend the first episode of the first season of Black MirrorGrade: B
1,1, The Power of Social Media,7.0,"Plot (3.5/5)Story (4/5)Soundtrack (4/5)They did it great.
Dialog (4.5/5)They speak way too fast.
Graphic (4/5)Reasonableness (5/5)All make sense.
Entertainment (3.5/5)Well, It is weird but also a bit entertaining.
Overall (4/5)This episode shows how powerful Social Media is. Even Government can't stop them."
1,1, He who laughs last,9.0,"I do believe that Mr Charlie Brooker no longer doing his 10 o'clock Live satirical news rival show decided that it would be great fun to do a story that attacked the then Prime Minister of Great Britain David Cameron.Cameron hated the comedians like Carr, Mitchell, Merton , Brooker etcBrooker didn't have time for The Tory partyEnjoy"
1,1, Degrading piece of garbage,1.0,"This program is described as being in the science fiction or thriller genre. Other people told me it was like a contemporary version of the twilight zone. None of these descriptions is remotely like what was presented in the first episode of the series. This episode is a twisted piece of filth that degrades the many British actors who lowered themselves to take part in it. It wasn't even much of a mystery, since there is a very clear spoiler early in the episode that gives away the name of the perpetrator. Don't waste your time. I will not be watching any more of this series. I wonder if this was written before or after the famous story about Prime Minister David Cameron and the pig."
1,1, Maybe something was lost in translation? Yank here.,2.0,"This is so bizarre and unpleasant to watch, it's amazing the show survived. I just wonder if there is a subtext here that Americans are missing."
1,1, Great start,8.0,"The satirical story is unsettling. Unlike the other episodes in Black Mirror, The National Anthem is set on the present and it deals with our obsession of social media and how news spreads like wildfire. And a PM doing it with a pig...really disturbing. But the acting is great."
1,2, Creative Second Effort,9.0,"This, of course, is an outrageous allegory about the foundations of our decline. The plot involves a man who seems to be comfortable. His bodily needs are taken care of. He seems somewhat free. But we soon find out that his daily routine is to get on a stationary bike and earn merits. These accumulate and can be exchanged for the the things that the governing body (whatever that is) is willing to sell them their products. They can get snacks from vending machines, watch pornography, mundane music, watch fat people being abused, on and on. They can also try to leave their station by giving up their merits in order to try to be celebrities themselves. It requires a huge number of merits (in the case 15 million) which could take six months to accumulate. Two people find each other and one makes a big sacrifice to allow that person to realize her dream. She must audition for three disgusting show-biz types in a kind of Hunger Games interview. We learn quickly that the decks are stacked and the prospect of pedaling a bicycle for eternity versus a modicum of celebrity is a hard decision. One of the most striking things about the episode is that people are represented to one another as avatars. When the girl sings in her audition, she sings before an arena full of cartoon figures who are the extension of real people. An excellent second episode after the first sickening one. I'll keep moving on to the third."
1,2, The Performances,6.0,"In a future society, most of the people work like slaves riding stationary bicycles to generate energy. In return, they receive ""merits"" that are consumed in fast-foods in vending machines and games and shows that they are forced to watch in giant screens in the single compartment where they live. When the worker Bingham ""Bing"" Madsen (Daniel Kaluuya) overhears his fellow worker Abi (Jessica Brown Findlay) singing in the unisex toilet, he falls in love with her. He convinces her to participate in the talent competition show ""Hot Shot"", where she may improve her life if she is selected by the judges Hope (Rupert Everett), Charity (Julia Davis) and Wraith (Ashley Thomas). Bing uses his savings of fifteen million merits that he had inherited from his brother to buy a ticket to Abi. However the judges offer to Abi to work in the porn channel ""Wraith Babes"" instead and she accepts the offer expecting to improve her life. Bing is angry with her choice and decides to save merits to go to the ""Hot Shot"" with a sharp piece of glass. What will he do in the contest? ""Fifteen Million Merits"" is a pointless episode of ""Black Mirror"" about a technological dystopia. The viewer sees the episode expecting something different and watches a weird story with an unintelligible speech. There is an obvious criticism to the excessive use of television, fast-food and video-games but the result is disappointing. My vote is six.Title (Brazil): Not Available on DVD or Blu-Ray"
1,2," ""I just want something real to happen. Just once.""",7.0,"Anybody here see and remember the movie ""The Running Man""? It starred Arnold Schwarzenneger and took place in a dystopian future in which the mindless masses were kept entertained with programs featuring blood and violence. You have pretty much the same thing here except the violence has been replaced by celebrity sex by players who pay their dues on the way to becoming the next 'Hot Shot'. All throughout, the story hints at the idea that the principal characters Abi (Jessica Brown Findlay) and Bing (Daniel Kaluuya) won't succumb to the relentless pressure of achieving that status, knowing that the only thing they each want to do is what makes them happy. But that choice is made impossible by celebrity judges Wraith, Hope, and Charity, who promise to send the fan favorites back to their lives of daily boredom scoring points while creating energy for the State and watching mind numbing programs of questionable value. An alternate ending in which Bing slashes his throat would have been considered more acceptable to this viewer, in as much as he seemed to be fiercely opposed to the choice he was offered, but in the end he too failed to deliver on his principles. Not that he had to be that drastic, he could simply have returned to his previous status. As Rod Serling once posited in one his more memorable Twilight Zone episodes, I guess it's all in the 'Eye of The Beholder'."
1,2," Seems so long ago, yet so prescient",8.0,"I still haven't seen Black Mirror season 3 onwards (I guess I have to subscribe to Netflix eventually). I'm only now catching up on three episodes from the early years: this and the third one in season 1, and the Christmas one with Jon Hamm.Fifteen Million Merits has several layers that is akin to a rorschach test. What you see depends on your priority in life. Consumerism? Capitalism? Talent shows? Simon Cowell? You have it all wen you see this."
1,2, I want to ride my bicycle.,8.0,"'Fifteen Million Merits (2011)' is the second entry in Charlie Brooker's 'Black Mirror (2011-). It's perhaps more typical of the series as a whole, with a single sci-fi premise at its core and a generally downbeat vibe. It's also highly satirical, a reflection of reality that's only become more relevant in the years since its initial release. Despite its heavy allegory and multi-faceted message, the piece remembers that it is, first and foremost, entertainment. As such, it's entertaining. It's also incredibly interesting and consistently compelling. It tells a fully-rounded story, with a tight script and a strong sense of design. The thing ties itself together wonderfully, culminating in an explosive finale that's truly great. Its first half, dedicated to establishing its world and setting up its extended meet-cute, is enjoyable and endearing. Its second, which is much darker, is straight-up gripping. You know something bad is going to happen but you really don't want it to, too invested in the central characters to care whether or not their suffering would make for better TV. It's really, really good. One of its best features is its star-making turn from leading man Kaluuya, which is still one of his best performances to date (it's not like he's ever given a bad one, though). His moment in the spotlight, as it were, is raw, visceral and properly powerful. It's a great end to a great experience. 8/10"
1,2, 7,7.0,"Basically the whole episode had an amazing idea which wasn't fulfilled 100 percent which is really sad. The idea about collecting coins like real life money buy stuffs is very nice but they should also add like when you have 0points you actually die in real life that would be more entertaining. The part when the girl was singing and became like just say ""web girl for cash"" was kind of hideous. She became to sing, she seemed to be very shy and thankfully she would never become ""web girl for cash"". The ending disappointed me when the main character grabbed the glass I was thinking he's going to kill jury but it ended miserably bad. So idea is great, fulfil was OK and ending was disaster. First episode was much better."
1,2, The Matrix vs The X Factor,8.0,"Today, more than ever, man is a slave - a slave to capitalism, consumerism, modern economy, and media brainwashing. We are trapped in a vicious circle of cash flow and our lives are spent paying bills, repaying loans, and constantly striving to stay afloat. The powerful manipulate our needs and satisfy them, probably largely unaware that, although on a different level, they themselves are trapped in the same game.With this satirical futuristic episode, ""Black Mirror"" brings this hopeless situation to an extreme, making the life of an individual completely meaningless. But the satire here is not achieved through humor, but through the depressing and uneasy atmosphere of the story of a society in which brainwashed individuals spend their lives producing electricity by endlessly turning the pedals, while virtual reality diverts their attention from general absurdity. And when a whiff of individuality and the will to change accidentally appears in one of them, they are effectively suffocated by skillful manipulation and the screw is freshly oiled and returned to the machinery.8/10."
1,2, Cycling Slave,8.0,"Bing is one of the many cyclers who do daily cycling to earn credits they can use to entertain and spend on themselves. He meets a woman who is blue-eyed and pretty. He hears her sing in the washroom and tells her he is going to gift her 12 million points. The girl gives Bing an origami penguin. They go to the competition together where the girl is made to take a drink and then sings. She is asked to lift up her shirt because he wants to see her titties. One of the judges insists she joins his show called Wraith Girls which is porn. The other white male judge agrees he would watch her and the woman says some girls might join to watch. The girl is taken to the show and Bing is in agony to see her in porn. Bing cycles to get to 15 million points and goes on the show, skipping the drink by using an old crumpled juice box. He threatens to kill himself with the shard of glass and says everything on his mind. The white male praises him and offers him a spot on his talk show. Bing takes it and gets to live in a beautiful white room with a wall showing the beautiful outdoors. He sips his orange juice."
1,2, Depressing but less creepy than episode n.1,7.0,"In the very near future (?), people spend their working hours in gyms watching stupid TV shows, to earn ""merits"" and become stars of those stupid shows. Besides being permanently stuck in the gym, they live in cubicles and even there they are forced to watch abysmally degrading entertainment, such as talent shows - wait a moment: this in not the future, this is right now....Anyway, the plot is about a guy who donates all his merits to a pretty girl, hoping she'll be the next talented singer to win a TV contest, but his plan backfires miserably.PS this episode reminded me of when I used to go to the gym and bike watching TV screens. Not my fondest memory...."
1,2, The revolution will be televised,8.0,"The world of Black Mirror is not one that anyone should want to live in. It's extremely bleak despite the technological advancements. This episode feels real to an extent, and that's what makes it great."
1,2, Beautiful Irony,8.0,This is one of the best if not the best episode about what Black Mirror is about. A clash of technology and human emotions. A great display of it.In the end it is truly ironic how the expression of emotions and calling the system out in a way results in turning and reinforcing the system. Intelligent and well ut together. Also the start of playing the recurring song Anyone. This is the episode that got me hooked on the series8.5/10
1,2," My least favourite episode of season 1, but it's still good",8.0,"Typically artsy and sylistic, you could say typically Black Mirror.Fifteen Million Merits is an entertaining ride that hits pretty hard at times. I love the satire and the darkness in this tale of a dystopian future where humans are little more than generators.Nothing to criticise here, strong characters and story, a solid episode!8/10"
1,2," Near-future dystopia, partly familiar-looking, partly with its own new forms of mediocrity and unpleasantness",9.0,"While the dystopia in this next offering of high-class and indeed mind-blowing British sci-fi obviously owes a debt to our country's ever-pertinent predecessor duo authoring ""1984"" and ""Brave New World"", Charlie Brooker does bring in certain inventive features all of his own here. And just like its ""Black Mirror"" predecessor episode ""National Anthem"", this one keeps allowing new ideas to unfold at each moment through to the very end, often surprising the viewer as this happens.In the meantime (and again in the same vein as with ""National Anthem"") we have multiple (conceivably even too many) targets having potshots taken at them, and the emotions come in thick and fast.The most Orwellian feature here is the sheer dullness of the everday existence presented. Nothing looks very high-class, and most things look artifiical, flashy, dumbed-down and childish - yet, while the people living this life do seem to have insight into this fact (certainly lead role Daniel Kaluuya as Bing seems to notice that ""everything is sh**""), and while they are not apparently forced to keep with this lowest common denominator by Big Brother/Thought Police/Room 101-like terror or even - most likely - by being drugged, as in the Huxley masterpiece, they do things as prescribed and play along...Why would that be?A clue may be provided with a further twist in the tale at the end, given the implication that these bits of human civilisation (if we can dignify what we see with that term) seem to exist in order to allow everywhere else beyond the confines of the centres we see to return to nature. That's a particularly paradoxical and chilling thought if the interpretation is correct.What price a restored environment?Yet this gels with the idea that the even-slightly-overweight are very much abused and looked down on in the society presented here - the implication being that they are taking more than their fair share of resources, or some such, and can to be mocked and abused for that.The beautiful and still-carefree 21-year-old Abi is an obvious reference to ""Julia"" in 1984, and of course she entrances Bing who is her Winston Smith. And just as Julia somehow lets Winston (and the reader) down in ""1984"", so the gorgeous Jessica Brown Findlay in the role of Abi accepts - very reluctantly, under merciless audience pressure, but nevertheless - that her lucrative, privileged if demeaning place will be in porn, rather than singing. Bing is similarly broken by this system (again a la Winston Smith), the thing being all-encompassing enough to allow him to preach a toned-down version of his diatribes against that very system as a new form of paid-for entertainment within the system framework!!And, this being ""Black Mirror"", the fact that Abi and Bing both escape the daily grind and go on to higher, more elite things DOES NOT mean them getting back together to rekindle the wonderfully inspiring love that they have experienced briefly.So all is miserable and maudlin once again, but certainly thought-provoking enough.Perhaps tyrannical discipline is really not needed in a world where people have nothing to spend unless they first exercise-cycle their way through energy production, then buy meagre rations and dire entertainment before starting the next bout of exercising ad nauseam.Indeed, much of that entertainment in its commercial aspect they will continue to receive UNLESS they pay ""merits"" NOT to receive it - a tragic and terribly scary twist denoting a default position in which everybody is soused with advertising or commercial pressures and content, unless they can afford not to be."
1,2, Monetary merits,7.0,"This review contains spoilers for the second episode of Black Mirror entitled ""Fifteen Million Merits.""The episode focuses on a society that is enclosed and automated Citizens here are frequently bombarded with advertisements. The most fit members of society that have not been elevated to the television generate power on stationary bikes for merit points. These merit points are used as currency.The episode focuses on Bingham ""Bing"" Madsen played by Daniel Kaluuya. The audience follows Bing as he navigates this strange world. The only way of elevating one's standing in the society is a ticket to being a hotshot where one performs in front of judges.This is a well written, well shot, and well edited episode. The episode flowed the freely and showed a dystopian society that had influences from Brave New World. Even the ending with a disillusioned Bing joining the very system he disagreed with is good writing.I highly recommend the second episode of Black Mirror.Grade: A"
1,2, This story as the X factor,9.0,Yep a story of many a twist and a novel way to create power source without any wars over oil.But when it comes down to the crunch how much is your morality and self respect worth?Get used to a certain tune
1,2, This is Art,9.0,Cycling continuously and earning points was so similar to us being in mundane jobs and accumulating points to pay off our bills. Even when we accumulate enough points and buy the golden ticket; we do not actually get what we were hoping for. We humans have made a viscous circle for ourselves that we can never escape from.
1,2, Very futuristic,8.0,"This is by far the most futuristic and eccentric episode. It is a satire of live TV contest shows. Like many of Black Mirror episodes, the story is also kinda creepy. Daniel Kaluuya is the star of this episode, and he's fantastic...and he's also hot."
1,2, All Style No Substance,3.0,"First of all, I will freely concede that the visuals of this episode look great. Overall I am still not impressed. I was told that this was supposed to be one of the best episodes. My main two objections are as follows. It moves way too slowly. There is lots of dull drawn out mundane and unnecessary parts. You could cut at least 15 - 20 mins and lose nothing significant. My larger objection is that the concepts and metaphors are not nearly as grand and intelligent as the critics seem to think. We are becoming slaves to technology... really? is that your high minded and profound social and political message? In some sense I do agree, but, this is not the cutting edge and brilliant art I was told to expect. I'm giving this show one more episode. If that does not impress me I am done. So far I think Black Mirror is completely overrated."
1,2, Dislike,5.0,Could be seen as an irony to capitalist ladder and all. But not worth 60 minutes. The universe is totally absurd and unrelatable for me.
1,2," Same Old ""Rats in a Race"" Concept",1.0,Same idea we've seen on other shows miilion times before. They didn't even do it well and the episode was way too long.
1,2, Absolutely Great!,9.0,"One of the greatest episodes of Black Mirror, just shows the genius of this show."
1,2, A Visually treat to watch this episode. 😍,8.0,"Wow.. Such a Nice world represented here in this episode.. According to the episode in the future Technology is pretty much advanced and people just tired with real money, so they're now dealing with Merit points and advertising industry have grown up so much there.
Nothing much to reveal about the storyline, but I'll say I just liked that ""Get Out"" Guy! Loved his acting and especially Dances and his epic Speech."
1,3, Where Does Humanity End?,9.0,"After one accepts the technology presented here, we get to see just how dangerous it is. People are able to recall every event of their existence--the images absorbed by an implant that more than half of society uses. People become obsessed with the gizmo and soon are sharing life events. The logical evolution of Facebook. But we are fragile figures. We still have emotions and we make mistakes. The main character is incredibly jealous of his wife's past. She is far from guiltless, but if one had to live with a paranoic, it wouldn't be hard to see things moving in the direction presented here. He comes home early from an interview and attends a dinner party his wife had thrown. In the mix is a man who seems to have more interest in the wife than the husband finds acceptable. With this ability to review the events of the past, he begins to search images. It's not that simple because there is subterfuge at every turn. This is another quite fascinating offering."
1,3, The Price of an Eternal Memory,8.0,"In the future, most of the population has a chip called Grain implanted to record and watch the memory of the entire life. After a job interview, the lawyer Liam Foxwell (Toby Kebbell) takes an earlier flight to meet his wife Ffion (Jodie Whittaker) in a dinner party with her old friends. When he unexpectedly arrives, Ffion is talking to her friend Jonas (Tom Cullen) and Liam finds her reaction strange. Then he watches her glances at Jonas during the dinner and he suspects they have a love affair. Liam presses his wife for an answer and she admits that Jonas and she had a love affair in Marrakesh before she meets Liam. They have sex and Liam spends the night drinking and reviewing the reunion. On the next morning, he drives to the house of Jonas and confronts him. What will be the price of his obsession?""The Entire History of You"" is another dark episode of ""Dark Mirror"", with a criticism to the excessive use of technology. What could be an argument between husband and wife becomes an obsession with the playback of past memories destroying their marriage. My vote is eight.Title (Brazil): Not available"
1,3, 'Memory is for the living'.,7.0,"Does anyone doubt this is where we're actually headed? The only question I have is whether it will be voluntary or mandatory. Personally, I'm not even a Facebook user believing that it's membership requirements are too intrusive, but with the 'grain' implant, nothing in your life would be left to the imagination. You could simply call up your past experiences and be entertained or disgusted by them as the case may be. In Liam's (Toby Kebbell) case, he can't get past the idea that his wife (Jodie Whittaker) cheated on him and lied about it. I guess that's where the erasure option would be a good thing if you can call it that. Still, it would be a lot better to go against the grain in the first place instead of having to opt out at a later time."
